tree,species,latin_binomial,family,tree_part,wsg,region,village,lat,lon
034_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_middle,0.565,Bealanana,Analila,-14.453611,49.046389
034_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_top,0.502,Bealanana,Analila,-14.453611,49.046389
035_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,branch,0.492,Bealanana,Analila,-14.453611,49.046389
035_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_base,0.569,Bealanana,Analila,-14.453611,49.046389
035_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_middle,0.528,Bealanana,Analila,-14.453611,49.046389
035_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_top,0.564,Bealanana,Analila,-14.453611,49.046389
036_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,branch,0.506,Bealanana,Analila,-14.453611,49.046389
036_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_base,0.562,Bealanana,Analila,-14.453611,49.046389
036_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_middle,0.572,Bealanana,Analila,-14.453611,49.046389
036_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_top,0.491,Bealanana,Analila,-14.453611,49.046389
037_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,branch,0.593,Bealanana,Analila,-14.453611,49.046389
037_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_base,0.567,Bealanana,Analila,-14.453611,49.046389
037_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_middle,0.508,Bealanana,Analila,-14.453611,49.046389
037_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_top,0.532,Bealanana,Analila,-14.453611,49.046389
038_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,branch,0.539,Bealanana,Analila,-14.453611,49.046389
038_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_base,0.625,Bealanana,Analila,-14.453611,49.046389
038_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_middle,0.578,Bealanana,Analila,-14.453611,49.046389
038_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_top,0.551,Bealanana,Analila,-14.453611,49.046389
039_Bealanana,Rhus tarantana (Baker) H. Perrier,Rhus tarantana,Anacardiaceae,branch,0.521,Bealanana,Analila,-14.453611,49.046389
039_Bealanana,Rhus tarantana (Baker) H. Perrier,Rhus tarantana,Anacardiaceae,trunk_base,0.652,Bealanana,Analila,-14.453611,49.046389
039_Bealanana,Rhus tarantana (Baker) H. Perrier,Rhus tarantana,Anacardiaceae,trunk_middle,0.588,Bealanana,Analila,-14.453611,49.046389
039_Bealanana,Rhus tarantana (Baker) H. Perrier,Rhus tarantana,Anacardiaceae,trunk_top,0.587,Bealanana,Analila,-14.453611,49.046389
040_Bealanana,Eugenia sp. L.,Eugenia sp.,Myrtaceae,branch,0.652,Bealanana,Analila,-14.453611,49.046389
040_Bealanana,Eugenia sp. L.,Eugenia sp.,Myrtaceae,trunk_base,0.649,Bealanana,Analila,-14.453611,49.046389
040_Bealanana,Eugenia sp. L.,Eugenia sp.,Myrtaceae,trunk_middle,0.66,Bealanana,Analila,-14.453611,49.046389
040_Bealanana,Eugenia sp. L.,Eugenia sp.,Myrtaceae,trunk_top,0.654,Bealanana,Analila,-14.453611,49.046389
041_Bealanana,Eugenia bernieri Drake,Eugenia bernieri,Myrtaceae,branch,0.574,Bealanana,Analila,-14.453611,49.046389
041_Bealanana,Eugenia bernieri Drake,Eugenia bernieri,Myrtaceae,trunk_base,0.525,Bealanana,Analila,-14.453611,49.046389
041_Bealanana,Eugenia bernieri Drake,Eugenia bernieri,Myrtaceae,trunk_middle,0.486,Bealanana,Analila,-14.453611,49.046389
041_Bealanana,Eugenia bernieri Drake,Eugenia bernieri,Myrtaceae,trunk_top,0.625,Bealanana,Analila,-14.453611,49.046389
042_Bealanana,Eugenia emirnensis Baker,Eugenia emirnensis,Myrtaceae,branch,0.601,Bealanana,Analila,-14.453611,49.046389
042_Bealanana,Eugenia emirnensis Baker,Eugenia emirnensis,Myrtaceae,trunk_base,0.57,Bealanana,Analila,-14.453611,49.046389
042_Bealanana,Eugenia emirnensis Baker,Eugenia emirnensis,Myrtaceae,trunk_middle,0.56,Bealanana,Analila,-14.453611,49.046389
042_Bealanana,Eugenia emirnensis Baker,Eugenia emirnensis,Myrtaceae,trunk_top,0.586,Bealanana,Analila,-14.453611,49.046389
043_Bealanana,Colea sp. Bojer ex Meisn.,Colea sp.,Bignoniaceae,branch,0.76,Bealanana,Analila,-14.453611,49.046389
043_Bealanana,Colea sp. Bojer ex Meisn.,Colea sp.,Bignoniaceae,trunk_base,0.783,Bealanana,Analila,-14.453611,49.046389
043_Bealanana,Colea sp. Bojer ex Meisn.,Colea sp.,Bignoniaceae,trunk_middle,0.809,Bealanana,Analila,-14.453611,49.046389
043_Bealanana,Colea sp. Bojer ex Meisn.,Colea sp.,Bignoniaceae,trunk_top,0.724,Bealanana,Analila,-14.453611,49.046389
044_Bealanana,Colea sp. Bojer ex Meisn.,Colea sp.,Bignoniaceae,branch,0.715,Bealanana,Analila,-14.453611,49.046389
044_Bealanana,Colea sp. Bojer ex Meisn.,Colea sp.,Bignoniaceae,trunk_base,0.831,Bealanana,Analila,-14.453611,49.046389
044_Bealanana,Colea sp. Bojer ex Meisn.,Colea sp.,Bignoniaceae,trunk_middle,0.761,Bealanana,Analila,-14.453611,49.046389
044_Bealanana,Colea sp. Bojer ex Meisn.,Colea sp.,Bignoniaceae,trunk_top,0.743,Bealanana,Analila,-14.453611,49.046389
045_Bealanana,Eugenia emirnensis Baker,Eugenia emirnensis,Myrtaceae,branch,0.576,Bealanana,Analila,-14.453611,49.046389
045_Bealanana,Eugenia emirnensis Baker,Eugenia emirnensis,Myrtaceae,trunk_base,0.564,Bealanana,Analila,-14.453611,49.046389
045_Bealanana,Eugenia emirnensis Baker,Eugenia emirnensis,Myrtaceae,trunk_middle,0.533,Bealanana,Analila,-14.453611,49.046389
045_Bealanana,Eugenia emirnensis Baker,Eugenia emirnensis,Myrtaceae,trunk_top,0.484,Bealanana,Analila,-14.453611,49.046389
046_Bealanana,Eugenia bernieri Drake,Eugenia bernieri,Myrtaceae,branch,0.487,Bealanana,Analila,-14.453611,49.046389
046_Bealanana,Eugenia bernieri Drake,Eugenia bernieri,Myrtaceae,trunk_base,0.588,Bealanana,Analila,-14.453611,49.046389
046_Bealanana,Eugenia bernieri Drake,Eugenia bernieri,Myrtaceae,trunk_middle,0.597,Bealanana,Analila,-14.453611,49.046389
046_Bealanana,Eugenia bernieri Drake,Eugenia bernieri,Myrtaceae,trunk_top,0.489,Bealanana,Analila,-14.453611,49.046389
